Aa,Ad,Ba,Bd,l,s1,s2,p
0,0,0,1,33,1,3,0.0
0,0,0,1,33,1,4,0.030303030303030304
0,0,0,1,33,1,5,0.0
0,0,0,1,33,1,6,0.0
0,0,0,1,33,1,7,0.0
0,0,0,1,33,1,8,0.0
0,0,0,1,33,2,0,0.030303030303030304
0,0,0,1,33,2,1,0.09090909090909091
0,0,0,1,33,2,2,0.06060606060606061
0,0,0,1,33,2,3,0.030303030303030304
0,0,0,1,33,2,4,0.030303030303030304
0,0,0,1,33,2,5,0.0
0,0,0,1,33,2,6,0.0
0,0,0,1,33,2,7,0.0
0,0,0,1,33,2,8,0.0
0,0,0,1,33,3,0,0.0
0,0,0,1,33,3,1,0.030303030303030304
0,0,0,1,33,3,2,0.030303030303030304
0,0,0,1,33,3,3,0.0
0,0,0,1,33,3,4,0.0
0,0,0,1,33,3,5,0.0
0,0,0,1,33,3,6,0.0
0,0,0,1,33,3,7,0.0
0,0,0,1,33,3,8,0.0
0,0,0,1,33,4,0,0.0
0,0,0,1,33,4,1,0.0
0,0,0,1,33,4,2,0.0
0,0,0,1,33,4,3,0.0
0,0,0,1,33,4,4,0.0
0,0,0,1,33,4,5,0.0
0,0,0,1,33,4,6,0.0
0,0,0,1,33,4,7,0.0
0,0,0,1,33,4,8,0.0
0,0,0,1,33,5,0,0.0
0,0,0,1,33,5,1,0.0
0,0,0,1,33,5,2,0.0
0,0,0,1,33,5,3,0.0
0,0,0,1,33,5,4,0.0
0,0,0,1,33,5,5,0.0
0,0,0,1,33,5,6,0.0
0,0,0,1,33,5,7,0.0
0,0,0,1,33,5,8,0.0
0,0,0,1,33,6,0,0.0
0,0,0,1,33,6,1,0.0
0,0,0,1,33,6,2,0.0
0,0,0,1,33,6,3,0.0
0,0,0,1,33,6,4,0.0
0,0,0,1,33,6,5,0.0
0,0,0,1,33,6,6,0.0
0,0,0,1,33,6,7,0.0
0,0,0,1,33,6,8,0.0
0,0,0,1,33,7,0,0.0
0,0,0,1,33,7,1,0.0
0,0,0,1,33,7,2,0.0
0,0,0,1,33,7,3,0.0
0,0,0,1,33,7,4,0.0
0,0,0,1,33,7,5,0.0
0,0,0,1,33,7,6,0.0
0,0,0,1,33,7,7,0.0
0,0,0,1,33,7,8,0.0
0,0,0,1,33,8,0,0.0
0,0,0,1,33,8,1,0.0
0,0,0,1,33,8,2,0.0
0,0,0,1,33,8,3,0.0
0,0,0,1,33,8,4,0.0
0,0,0,1,33,8,5,0.0
0,0,0,1,33,8,6,0.0
0,0,0,1,33,8,7,0.0
0,0,0,1,33,8,8,0.0
0,0,0,2,51,0,0,0.11764705882352941
0,0,0,2,51,0,1,0.11764705882352941
0,0,0,2,51,0,2,0.0784313725490196
0,0,0,2,51,0,3,0.0196078431372549
0,0,0,2,51,0,4,0.0
0,0,0,2,51,0,5,0.0196078431372549
0,0,0,2,51,0,6,0.0
0,0,0,2,51,0,7,0.0
0,0,0,2,51,0,8,0.0
0,0,0,2,51,1,0,0.17647058823529413
0,0,0,2,51,1,1,0.1568627450980392
0,0,0,2,51,1,2,0.058823529411764705
0,0,0,2,51,1,3,0.0392156862745098
0,0,0,2,51,1,4,0.0196078431372549
0,0,0,2,51,1,5,0.0
0,0,0,2,51,1,6,0.0
0,0,0,2,51,1,7,0.0
0,0,0,2,51,1,8,0.0
0,0,0,2,51,2,0,0.09803921568627451
0,0,0,2,51,2,1,0.0196078431372549
0,0,0,2,51,2,2,0.0196078431372549
0,0,0,2,51,2,3,0.0
0,0,0,2,51,2,4,0.0
0,0,0,2,51,2,5,0.0
0,0,0,2,51,2,6,0.0
0,0,0,2,51,2,7,0.0
0,0,0,2,51,2,8,0.0
0,0,0,2,51,3,0,0.0196078431372549
0,0,0,2,51,3,1,0.0196078431372549
0,0,0,2,51,3,2,0.0
0,0,0,2,51,3,3,0.0196078431372549
0,0,0,2,51,3,4,0.0
0,0,0,2,51,3,5,0.0
0,0,0,2,51,3,6,0.0
0,0,0,2,51,3,7,0.0
0,0,0,2,51,3,8,0.0
0,0,0,2,51,4,0,0.0
0,0,0,2,51,4,1,0.0
0,0,0,2,51,4,2,0.0
0,0,0,2,51,4,3,0.0
0,0,0,2,51,4,4,0.0
0,0,0,2,51,4,5,0.0
0,0,0,2,51,4,6,0.0
0,0,0,2,51,4,7,0.0
0,0,0,2,51,4,8,0.0
0,0,0,2,51,5,0,0.0
0,0,0,2,51,5,1,0.0
0,0,0,2,51,5,2,0.0
0,0,0,2,51,5,3,0.0
0,0,0,2,51,5,4,0.0
0,0,0,2,51,5,5,0.0
0,0,0,2,51,5,6,0.0
0,0,0,2,51,5,7,0.0
0,0,0,2,51,5,8,0.0
0,0,0,2,51,6,0,0.0
0,0,0,2,51,6,1,0.0
0,0,0,2,51,6,2,0.0
0,0,0,2,51,6,3,0.0
0,0,0,2,51,6,4,0.0
0,0,0,2,51,6,5,0.0
0,0,0,2,51,6,6,0.0
0,0,0,2,51,6,7,0.0
0,0,0,2,51,6,8,0.0
0,0,0,2,51,7,0,0.0
0,0,0,2,51,7,1,0.0
0,0,0,2,51,7,2,0.0
0,0,0,2,51,7,3,0.0
0,0,0,2,51,7,4,0.0
0,0,0,2,51,7,5,0.0
0,0,0,2,51,7,6,0.0
0,0,0,2,51,7,7,0.0
0,0,0,2,51,7,8,0.0
0,0,0,2,51,8,0,0.0
0,0,0,2,51,8,1,0.0
0,0,0,2,51,8,2,0.0
0,0,0,2,51,8,3,0.0
0,0,0,2,51,8,4,0.0
0,0,0,2,51,8,5,0.0
0,0,0,2,51,8,6,0.0
0,0,0,2,51,8,7,0.0
0,0,0,2,51,8,8,0.0
0,0,0,3,51,0,0,0.11764705882352941
0,0,0,3,51,0,1,0.11764705882352941
0,0,0,3,51,0,2,0.0784313725490196
0,0,0,3,51,0,3,0.0196078431372549
0,0,0,3,51,0,4,0.0
0,0,0,3,51,0,5,0.0196078431372549
0,0,0,3,51,0,6,0.0
0,0,0,3,51,0,7,0.0
0,0,0,3,51,0,8,0.0
0,0,0,3,51,1,0,0.17647058823529413
0,0,0,3,51,1,1,0.1568627450980392
0,0,0,3,51,1,2,0.058823529411764705
0,0,0,3,51,1,3,0.0392156862745098
0,0,0,3,51,1,4,0.0196078431372549
0,0,0,3,51,1,5,0.0
0,0,0,3,51,1,6,0.0
0,0,0,3,51,1,7,0.0
0,0,0,3,51,1,8,0.0
0,0,0,3,51,2,0,0.09803921568627451
0,0,0,3,51,2,1,0.0196078431372549
0,0,0,3,51,2,2,0.0196078431372549
0,0,0,3,51,2,3,0.0
0,0,0,3,51,2,4,0.0
0,0,0,3,51,2,5,0.0
0,0,0,3,51,2,6,0.0
0,0,0,3,51,2,7,0.0
0,0,0,3,51,2,8,0.0
0,0,0,3,51,3,0,0.0196078431372549
0,0,0,3,51,3,1,0.0196078431372549
0,0,0,3,51,3,2,0.0
0,0,0,3,51,3,3,0.0196078431372549
0,0,0,3,51,3,4,0.0
0,0,0,3,51,3,5,0.0
0,0,0,3,51,3,6,0.0
0,0,0,3,51,3,7,0.0
0,0,0,3,51,3,8,0.0
0,0,0,3,51,4,0,0.0
0,0,0,3,51,4,1,0.0
0,0,0,3,51,4,2,0.0
0,0,0,3,51,4,3,0.0
0,0,0,3,51,4,4,0.0
0,0,0,3,51,4,5,0.0
0,0,0,3,51,4,6,0.0
0,0,0,3,51,4,7,0.0
0,0,0,3,51,4,8,0.0
0,0,0,3,51,5,0,0.0
